Comentario,Polaridad,Aspecto
los atributos tienen tipos de datos incorrectos como un usuario no es tipo int es tipo varchar o string,-1,atributos
se encuentran metodos en forma de verbos de forma correcta,1,forma
las asociaciones estan unidas de una manera correcta y coherente,1,asociaciones
los nombres de las clases estan descritos de forma correcta existen clases que no pertenecen a la funcionalidad del caso de uso no se indica una estructura adecuada para las clases la informacion de las clases no esta muy bien detallada y sus metodos y atributos no estan bien definidos,0,nombres
los atributos estan definidos de forma correcta pero hay cierto que no se identifican como una caracteristica de la clase existen unos que no esta bien definido el tipo de dato,0,atributos
los metodos en las clases si cumplen con el diseno de modelo pero existen unos que no estan bien definidos para lo que realiza la clase existen metodos que no tendran una funcion a ejecutar nuestro trabajo,0,metodos
las cardinalidades se describen de forma correcta existe un problema al seguir la secuencia de navegacion de las clases no esta de forma correcta,0,cardinalidades
los nombres de las clases estan correctos cuenta con sus atributos y funciones necesarias solo le recomendaria que si a una clase va a separar por guion bajo lo haga a todas para seguir la jerarquia,1,nombres
los atributos de las clases tienen tipos de datos que no concuerdan con ese atributo algunos atributos que deberian ser string estan como int,-1,atributos
se recomienda que todos los metodos empiecen con minuscula y separar entra palabras por guion bajo o seguida por la siguiente palabra en mayuscula no usar ambas para seguir un orden el metodo loguin se encuentra mal escrito tambien se recomienda que los metodos indiquen que tipo de dato devuelven si no devuelven nada debera ser void,0,metodos
las relaciones entre clases estan bien por lo visto en este criterio tiene todo bien,1,relaciones
los nombres de las clases son adecuados se pueden ver todas las clases que requiere el diseno cada clase tiene una estructura adecuada toda la informacion que se visualiza es detallada y coherente,1,nombres
los atributos que se muestran estan detallados correctamente todos los atributos cuentan con su tipo y visualizacion adecuada ademas se pueden observar todos los atributos necesarios,1,atributos
los nombres de los metodos son adecuados expresan claramente una accion u operacion de la clase,1,nombres
las asociaciones que se representan en las clases son funcionales y de acuerdo al caso de estudio todas las cardinalidades se denotan correctamente,1,asociaciones
las clases estan claras se pueden visualizar correctamente pero no cumple con lo que esta en los caso de uso,0,clases
algunos atributos estan correctos pero se puede visualizar que en algunos hay dos palabras ejemplo id contrato,0,atributos
los metodos no retornan valor mediante el void hay metodos que faltarian segun el caso de uso ejemplo consultar_cliente,-1,metodos
las cardinalidades en algunos esta mal definido las lineas de asociacion,-1,cardinalidades
evaluando de forma global el diagrama de clases se evidencia una buena estructura ya con un detalle mas minucioso se detallara errores se evidencia el uso de atributos y metodos implementados y la implementacion del nombre de la clase es correcto,1,forma
los atributos analizados de forma detallada presentan buena estructura en todas las clases estan implementadas y presentan el tipo de dato a utilizar y tiene buena visibilidad no obstante en ciertas clases existen atributos que no tiene logica de estar alli o simplemente no tienen relacion con la clase o no es el nombre adecuado,0,atributos
los metodos implementados son adecuados y representan lo que necesita la clase,1,metodos
en las asociaciones se presentan casos en donde faltan asociaciones entre clases y el uso de los tipos de asociaciones se tiene que considerar mejorar ya que no esta realizando lo solicitado y no estan realizando una buena implementacion dentro del diagrama,-1,asociaciones
el nombre de las clases estan definidos contiene atributos y metodos y estan relacionadas entre si los tipos de datos parece estar correctos,1,nombre
los atributos parecen estar bien definidos denotan pertenencia a la clase y los tipos de datos,1,atributos
los metodos estan bien definidos el tipo de datos parece estar bien aunque los metodos no esta casi de acuerdo con lo que se requiere,0,metodos
las asociaciones parecen estar correctas aun que no representan del todo los requerimientos,0,asociaciones
las clases estan bien definida y cuentan con los atributos y metodos necesarios,1,clases
los atributos estan bien definidos y son correctos para cada uno de las clases,1,atributos
los metodos estan correctos estan bien definido y muestran una funcionalidad correcta,1,metodos
las cardinalidades estan bien especificadas,1,cardinalidades
deberia existir una clase padre llamada persona y derivar la herencia hacia cliente empleado y gerente,0,clase
si existe en su gran mayoria datos relevante que corresponden a los atributos de cada clase pero utilizando herencia entre las clases existiria menos datos redundantes,0,mayoria
en la clase reserva los nombres de los metodos no van en relacion con el caso de uso,-1,clase
la asociacion automovil y furgoneta no es la correcta aparte que para furgoneta se genera un error al no poseer metodos,-1,asociacion
en el presente diagrama de clases se pueden ver bien a detalle las clases ya que se encuentran bien especificadas,1,diagrama
la clase gerente y empleado tiene sus atributos incorrectos puesto que los atributos deberian ir con su respectivo tipo de datos no de la forma que se ha detallo en dichas clases,-1,clase
en mi punto de vista las funciones deberian ser tipo booleano algunas no todas porque algunas solo deben retornar un solo valor llamando a los parametros,-1,punto
en el diagrama de clases presente estan su mayoria mal relacionadas por ejemplo gerente hacia empleado deberia ir la relacion  a muchos y obligatorio porque un gerente tiene varios empleados y de empleados a gerente la relacion debe ser de  a ,-1,diagrama
los nombres de las clases cumplen con la sintaxis especificada faltan dos superclases usuario y vehiculo en la clase gerente esta ausente un codigo o cedula en la clase empleado de igual manera esta ausente un codigo faltan parametros en las funciones y metodos para realizar los registros y consultas la informacion no esta totalmente detallada,0,nombres
los nombres de los atributos cumplen con ser un sustantivo o adjetivo tienen concordancia con la clase para cada atributo existe un tipo de dato se han detecta la mayoria de atributos para cada clase,0,nombres
los nombres de los metodos si expresan una accion y son verbos se indica el tipo de dato su tipo de valor de retorno pero no su visibilidad no hay presencia de argumentos los metodos indican la mayoria de las funcionalidades solicitadas en los requerimientos,0,nombres
muchas de las cardinalidades no se denotan de manera correcta no se han especificado roles en ninguna parte del diagrama la direccion de navegacion de las asociaciones son en su mayoria correctas,-1,cardinalidades
los nombres de las clases estan correctos se cumple con el diseno de la misma globalmente si se detectan todas las clases de forma correcta para las clases se indica la estructura de sus atributos y metodos de forma correcta,1,nombres
se indica claramente el nombre de los atributos de forma correcta pero al relacionar el tipo de dato con el atributo este no tiene relacion ni coherencia por lo que no esta relacionado de forma correcta,0,nombre
los nombres de los metodos son adecuados se expresan claramente existe un error ya que no cuenta con un tipo de dato de entrada o retorno al momento de llamar a una clase vecina con este error existen metodos que no representan funcionalidad alguna,0,nombres
las cardinalidades se expresan claramente y los roles se especifican de forma adecuada la direccion de navegacion se expresa de forma correcta,1,cardinalidades
los nombres de las clases estan correctamente escritos con mayuscula cumple con todos los atributos necesarios e importante para cada clase,1,nombres
los atributos estan adecuadamente descritos estan identificado por tipos de datos pero no muestra si existe retorno,0,atributos
estan bastante adecuado pero no tienen visibilidad adecuada ya que no especifica si es privado o publico,0,visibilidad
respecto a las asociaciones las clases no tienen generalizaciones ya que en el caso de cliente gerente y empleado podria hacerse una generalizacion porque existe herencia entre ellas,-1,respecto
los nombres de las clases tienen la sintaxis adecuada se indica la estructura adecuada atributos y metodos se pudo agregar una generalizacion entre las clases cliente gerente y empleado ademas de las clases automovil y furgoneta,1,nombres
los nombres de los atributos en las clases encontradas son adecuados son sustantivos o adjetivos y expresan una propiedad de la clase ademas que expresan la visibilidad adecuada y su tipo de dato,1,nombres
existe una duplicacion de los metodos registrar_contrato y generar_contrato encontrados en la clase empleado y contrato estos metodos describen mejor una operacion de la clase contrato los metodos realizar_alta_vehiculo y realizar_baja_vehiculo describen mejor una clase abstracta vehiculo,0,duplicacion
deberia haber una asociacion de agregacion entre contrato y furgoneta puesto que no se hacen contratos a partir de reservas unicamente,-1,asociacion
los nombres de las clases tienen la sintaxis adecuada se indica la estructura adecuada atributos y metodos observacion a fin de no repetir ciertos atributos que son relativos en algunas clases se podria haber creado una clase abstracta que generalice a cliente gerente y empleado y otra clase abstracta que generalice automovil y furgoneta en general la observacion detalla es coherente,0,nombres
los nombres de los atributos en las clases encontradas son adecuados son sustantivos o adjetivos y expresan una propiedad de la clase ademas que expresan la visibilidad adecuada y su tipo de dato,1,nombres
existe una duplicacion de los metodos registrar_contrato y generar_contrato encontrados en la clase empleado y contrato estos metodos describen mejor una operacion de la clase contrato los metodos realizar_alta_vehiculo y realizar_baja_vehiculo describen mejor una clase abstracta vehiculo se indica los argumentos tipo de dato tipo de valor de retorno y visibilidad adecuada,0,duplicacion
parcialmente correcto podria haberse creado clases abstractas que sean generalizaciones de cliente gerente y empleado y de automovil y furgoneta respectivamente la multiplicidad es correcta los roles se especifican adecuadamente observacion en las asociaciones una reserva depende que exista un automovil por lo que se reemplaza con una composicion en lugar de agregacion tambien deberia haber una asociacion de agregacion entre contrato y furgoneta puesto que no se hacen contratos a partir de reservas unicamente,0,clases
las clases son correctas y sus nombres tambien pero hacen falta clases respecto a la informacion proporcionada en los casos de uso,0,clases
los atributos de las clases son redundantes y algunos de ellos innecesarios en la tabla gerente y empleado hacen falta atributos importantes como cargo o rango,-1,atributos
los metodos no tienen argumentos y todos retornan un void lo cual es ineficiente en algunas clases existen metodos como registrar consultar y modificar por separados pidiendo hacerse en uno solo actualizar,-1,metodos
las clases no tienen una generalizacion entre ellas como lo son las clases cliente gerente y empleado deberian tener un supertipo usuario en donde se engloban los datos que repiten en las tres las cardinalidades no estas puestas correctamente,-1,clases
el nombre de las clases estan definidos contiene atributos y metodos y estan relacionadas entre si aunque los tipos de datos no son los correctos,0,nombre
en los atributo los tipos de datos no son los correctos y en la clase empleado existe una asociacion con gerente que no esta correcta,-1,atributo
en los metodos existen fallas en los tipos de datos,-1,metodos
las asociaciones parecen estar correctas aun que no representan del todo los requerimientos,0,asociaciones
el diagrama cuenta con todos lo necesario nombre de clases atributos y metodos,1,diagrama
los atributos de la clases automovil y furgoneta deberian ser publicos,0,atributos
la clase furgoneta no deberia heredar los metodos de la clase automovil por que no le corresponderian en la clase automovil el metodo ingresar datos no esta del todo claro y podria ser lo mismo que el metodo actualizar,-1,clase
las clases se encuentran asociadas correctamente con su cardinalidad adecuada,1,clases
parcialmente correcto deberia existir una clase padre llamada persona y derivar la herencia hacia cliente empleado y gerente,0,clase
si existe en su gran mayoria datos relevante que corresponden a los atributos de cada clase pero utilizando herencia entre las clases existiria menos datos redundantes,0,mayoria
en la clase reserva los nombres de los metodos no van en relacion con el caso de uso,-1,clase
la asociacion automovil y furgoneta no es la correcta aparte que para furgoneta se genera un error al no poseer metodos,-1,asociacion
los sustantivos de los nombres de las clases se los observa bastante bien pero los metodos estan mal ya que no esta haciendo lo que hace el caso de uso,0,sustantivos
los atributos estan bien en cuanto a funcionalidad pero no estan bien descrito los tipo de datos,0,atributos
la mayoria de los metodos estan bien pero varios de ellos debieron ser de tipo void,0,mayoria
las mayoria de las cardinalidades estan bien disenadas pero algunas presentan errores,0,mayoria
tienen una estructura correcta y esta tiene sus atribuos y metodos de manera correcta,1,estructura
los atributos tienen tipos de datos correctos a excepcion de id deberia ser un int y no un string y correo no es double es varchar,0,atributos
algunos metodos se encuentran bien detallados pero una funcion no devuelve un string es una funcion void,0,metodos
asociaciones correctas solo falto la asociacion geerenteempleado,0,asociaciones
los nombres de las clases si son adecuados presentan correctamente los sustantivos y empieza con mayusculas globalmente si se detectan todas las clases correctamente,1,nombres
los nombres de los atributos son adecuados contienen los tipos de datos y visualidad adecuada,1,nombres
los nombres de los metodos son medianamente adecuados los verbos se presentan correctamente,1,nombres
la direccion de navegacion estan especificadas de forma correcta los roles presentados cumplen con lo especificado pero no existe herencia alguna,0,direccion
los nombres de las clases son adecuados faltan algunas clases para complementar la funcionalidad posee una estructura bastante adecuada los atributos y metodos son importantes la herencia utilizada no es la adecuada la informacion es detallada y coherente,0,nombres
los atributos utilizados son adecuados expresan de forma correcta las propiedades de las clases si indican los tipos de datos y denotan visibilidad,1,atributos
los nombres de los metodos son adecuados expresan la accion a realizar en la clase los metodos indican funcionalidad y especifican medianamente el tipo de dato de retorno,1,nombres
algunas cardinalidades son incorrectas los roles no se especifican bien y la direccion de navegacion es algo confusa,-1,cardinalidades
los nombres de las clases son los correctos se detectan que existen mas clases de lo que se indican en el diagrama de caso de uso la estructura no es la adecuada ya que los atributos no estan bien definidos y existe redundancia entre ellos los metodos estan incorrectos ya que unas clases no necesariamente los utiliza en la funcionalidad,-1,nombres
los nombre de los atributos si estan bien especificados expresan claramente una propiedad de la clase en esta parte los atributos y sus tipos de datos no estan bien relacionado ya que en clases diferentes usa el mismo atributo con tipos de datos diferentes no existe una relacion clara y especifica entre el tipo de dato y el atributo que se especifica,0,nombre
se representa claramente los nombres de los metodos si estan bien especificados existe un error ya que no representan una funcionalidad adecuada con los atributos a la vez no expresan un valor de entrada o retorno a las clases llamadas,0,nombres
las cardinalidades si estan bien expresadas pero existe un error en la navegacion de las asociaciones,0,cardinalidades
todas las clases empiezan con mayusculas como se debe,1,clases
los atributos de gerente empleado cliente empiezan con mayuscula y convencion de las clases indica que se debe empezar solo las clases con mayuscula tambien en la clase reserva tiene  atributos que empiezan con mayuscula tambien en gerente se tiene un atributo llamado correo que es de tipo doble en vez de string,0,atributos
los metodos de la clase automovil podrian escribirse de una manera mas entendible como el metodo de ingresar datos o actualizar,-1,metodos
las cardinalidades y las relaciones entre clases son las correctas,1,cardinalidades
las clases estan claras se pueden visualizar correctamente,1,clases
se pueden visualizar correctamente los atributos que estan correctos,1,atributos
los metodos no retornan valor mediante el void todos tienes string y algunos metodos no se encuentra en la clase que deberian estar,-1,metodos
las asociaciones no se encuentran correctas,-1,asociaciones
los nombres de las clases son adecuados son sustantivos e inician con mayusculas pero una clases esta mal escrita aparentemente se detectan todas las clases correctamente en su mayoria las clases tienen la estructura adecuada la informacion esta medianamente detallada y coherente,0,nombres
los nombres de lo atributos son adecuados los atributos indican sus tipos de datos y visibles,1,nombres
los nombres de los metodos son adecuados los metodos indican solo el tipo de dato los metodos aplicados indican funcionalidad de las clases basados en los requerimientos,1,nombres
las cardinalidades se denotan medianamente correctas no se especifican los roles,0,cardinalidades
los nombre de las clases estan correctamente escritos sin embargo presentan clases de mas usando objetos no existentes en los casos de uso,0,nombre
los atributos estan bien especificadas,1,atributos
los metodos estan bien especificadas,1,metodos
cardinalidades se denotan de forma correcta la direccion de navegacion de todas las asociaciones se especifica de forma correcta,1,cardinalidades
uno de sus nombre no es sustantivo en el caso de login pero si todos tienen mayusculas su estructura si es adecuada y su informacion es detallada y coherente,0,nombre
los nombres de los atributos si son sustantivos y expresa la propiedad de la clase el tipo de dato son correctos,1,nombres
en los nombres de los metodos uno no es correcto que es dato ya que no es un verbo el tipo de dato son confuso ya que tiene muchos en uno y unos dicen booleano y por lo tanto influye en su funcionalidad,-1,nombres
sus cardinalidades estan bien aplicadas los roles estan entendibles y considero correcta la direccion de navegacion,1,cardinalidades
en las clase se observa una buena aplicacion de los metodos con respecto cuando son subclases los atributos estan bien definidos con respecto al sistema los nombre clase estan adecuado,1,clase
los nombre de los atributos expresan claramente la propiedad de cada clase se indica que tipo de dato pertenece,1,nombre
los metodos son verbos y representa claramente la propiedad de cada clase,1,metodos
las asociaciones se observa una buena aplicada en las clases del diagrama,1,asociaciones
los nombres de las clases son sustantivos se logra detectar globalmente todas las clases,1,nombres
los atributos estan bien especificados cada atributo cuenta con su visibilidad y el tipo de dato,1,atributos
los metodos si tienen argumentos no tiene el tipo de valor de retorno si cuentan con el tipo de dato,0,metodos
la direccion de navegacion de la herencia entre las clases usuario cliente empleados es la adecuada las cardinalidades estan bien descritas,1,direccion
las clases muestran una estructura correcta existen clases que no muestran una informacion correcta sobre que objeto se quiere manipular hay clases que no deberian existir los nombres de las clases se deberian mejorar,0,clases
existen atributos que no se entienden de forma adecuada o no representan correctamente una propiedad de la clase el tipo de dato asignado a los atributos se encuentran de forma correcta,0,atributos
existen metodos que no son claros sobre la funcionalidad que van a ejercer o ejecutar hay muchos metodos que retornan valores inapropiados como datos booleanos en metodos que deben retornar datos,-1,metodos
muchas asociaciones se encuentran realizadas de forma incorrecta no existe un uso correcto de la obligatoriedad y de la cardinalidad de manera que entorpece o distorsiona el entendimiento del diagrama de clases,-1,asociaciones
los nombres de las clases son los adecuados compuestos de sustantivos y todos empiezan con mayusculas las clases tienen la estructura correcta cada uno poseen sus metodos y atributos,1,nombres
los nombres de los atributos se encuentran de manera correcta conformadas de sustantivos todos los atributos expresan propiedades de la clases los atributos poseen su tipo de dato,1,nombres
los metodos poseen su tipo de dato mostrando asi las funcionalidades que se requieren plasmar los metodos no indican todas funcionalidad correcta de los requerimientos los nombres de los metodos estan formados de verbos,0,metodos
las cardinalidades de todas las asociaciones no estan correctas los roles se encuentran correctos mostrando asi sus funcionalidades estan correctas las direcciones de navegacion entre las asociaciones,0,cardinalidades
los nombres de cada clases son correctos al empezar todos sus nombres en mayuscula cada clase contiene sus atributos correspondiente como sus metodos,1,nombres
todas las clases tiene sus atributos correctamente,1,clases
en algunas clases sus metodos no son verbos la funcionalidad es correcta,0,clases
todas las cardinalidades estan de manera correcta la direccion de las asolaciones se utilizo de manera adecuada,1,cardinalidades
existen clases innecesarias o no estan definidas correctamente no se puede entender la estructura de las mismas,-1,clases
existen atributos faltantes o estan de mas los atributos existentes no reflejan el funcionamiento de la clase,-1,atributos
no se encuentra coherencia entre los metodos y hacen falta metodos que relacionen las clases,-1,coherencia
aunque se puede apreciar las cardinalidades al estar mal disenado el diagrama de clases este carece de sentido se encuentran inconsistencias en la comunicacion entre las clases por lo cual se hace dificil el entendimiento del mismo,-1,cardinalidades
los nombres escogidos se adaptan todos menos la clase alquiler que deberia representar los contratos cosa que hace en los casos de uso mas no aqui en el diagrama de clases el diagrama de clases posee la estructura adecuada con sus atributos y metodos el diagrama de clases no llega a representar de manera correcta las clases usuario cliente empleado y gerente las clases usuario cliente empleado y gerente tienen el metodo datos los cual se puede representar como un error el diagrama de clases arrastra el error de herencia encontrado en el diagrama de casos de uso falta una clase para gestionar las furgonetas la clase gestionar se pudo evitar la clase gestionar tambien se la pudo llamar de manera diferente para representar mejor la idea que queria expresarse,-1,nombres
generalmente los atributos estan bien definidos y representan bien las propiedades de su clase faltan uno que otro atributo en ciertas clases,1,atributos
no todos los nombres de los metodos contienen verbos pero representan de manera suficiente la funcionalidad de metodo los metodos tienen los tipos de datos de los parametros los metodos no tienen tipo de datos en los valores de retorno donde la mayoria de metodos que deberian retornar un void retornan un bolean el mayor error es retornar un tipo de dato login en el metodo registrar de la clase login,-1,nombres
las cardinalidades estan incorrectas por los numerosos errores logicos que se pueden encontrar entre las clases existen clases que clases que son innecesarias las cuales crean asociaciones innecesarias en la obligatoriedad no parece haber errores notables,-1,cardinalidades
los nombres de las clases estan correctos son sustantivos y todos empiezan con mayusculas las clase tienen la estructura adecuada cada uno posee sus atributos y metodos  la informacion representada se encuentra de manera coherente,1,nombres
los nombres de los atributos estan correctos pues estan compuestos de sustantivos los nombres de los atributos si expresan propiedades de la clases los atributos tienen su tipo de dato pero no todos tienen los valores de retorno necesarios,0,nombres
los nombres de los metodos estan correctos pues estan formados de verbos todos los metodos poseen su tipo de dato los metodos no indican todas las funcionalidad requeridas,1,nombres
todas las clases poseen las direcciones de navegacion entre todas las asociaciones no todas las cardinalidades estan correctas los roles mostrados son los necesarios par el correcto funcionamiento del sistema,0,clases
existen nombres de clase que estan escrita mal y no encuentran todos las clases segun el metodo de estudio existen confusion al momento de observar los metodos que cada uno de la clases,-1,nombres
existen atributos faltantes con respecto a cada clase no existe coherencia al momento de realizar los metodos de cada uno los metodos de la clase login no tiene sentido con respecto a la clase,-1,atributos
los metodos de cada clase estan mal formulado debido a que existen mucha confusion al momento de realizar la clase no esta entendible con que desea realizar los metodos,-1,metodos
la cardinalidad de cada clase no esta especificada no contiene ninguna asociacion o agregacion,-1,cardinalidad
realizando un valoracion global el diagrama de clases presenta los nombres de las clases de forma adecuada tambien tiene uso de atributos y metodos en cada clase pero en cierta clase la estructura es deficiente ya que no presenta atributos adecuados o simplemente no existe ningun atributo,0,valoracion
en forma general los atributos estan formulados de forma correcta pero en una revision detallada de cada clase se evidencia que en cierta clase no existen atributos o los atributos no concuerdan con la clase como un punto a favor los atributos si presentan su tipo de dato y tienen buena visibilidad,0,forma
los metodos implementados tienen cierta deficiencia ya que se presentan como verbo infinitivo no presentan el tipo de dato o el tipo de retorno que devuelve,-1,metodos
las asociaciones implementadas estan bien especificas y definida pero se necesitaria evaluar ciertas asociaciones y evaluar si es la asociacion correcta entre esas clases existe aislamiento entre clases que tienen cierta relacion,0,asociaciones
los sustantivos de los nombres de las clases se los observa bastante bien pero los faltan atributos y metodos que son necesarios para el funcionamiento,0,sustantivos
los atributos no expresan una propiedad de la clase y no se detectan todos los atributos correctamente,-1,atributos
la mayoria de los metodos no estan bien y en la clase persona no existe el metodo consultar_persona,-1,mayoria
no tiene cardinalidades y no se observa casi nada de funcionamiento en el diagrama,-1,cardinalidades
la mayoria de clases se encuentran bien solo faltaria la clase furgoneta,1,mayoria
los atributos tienen tipos de datos correctos menos en genero que lo pone tipo int en vez de varchar o string,1,atributos
se encuentran metodos en forma de verbos de forma correcta pero no deberia estar todo en la clase automovil deberia existir clase furgoneta,0,forma
no se encuentran ninguna de las diferentes asociaciones que podrian aparecer de    ,-1,asociaciones
en el presente diagrama de clases se pueden ver bien a detalle los nombres de las clases estan bien estructurado pero hacen falta unos parametros importantes como por ejemplo en la clase del gerente no tiene atributos y esto puede generar un numero de inconvenientes a la hora de realizar algun tipo de manejo en el sistema ya que no se especifica como puede acceder al sistema como tal,0,diagrama
los nombres de los atributos estan bien redactados pero sin embargo ha quedado una clase la cual no se presentan atributos que haria tal actor puesto que este tiene un cargo diferente es algo logico que deba presentar atributos diferentes a los demas,0,nombres
los metodos que han sido utilizados en el diagrama de clases estan detallados con la especificacion de que mismo debe hacer cada uno en cada clase pero no estan bien formulados todos los metodos,0,metodos
en el diagrama de clases presente estan en su mayoria bien relacionadas las cardinalidades pero con respecto a las asociaciones hay ciertas asociaciones en las cuales se deben analizar bien a detalle ya que hay unas que no han sido bien utilizadas,0,diagrama
los nombres de las clases son adecuados para cada objeto poseen una estructura correcta la informacion que muestran no es tan clara pero se logra entender sin problemas hacen falta otras clases para manejar mejor los objetos,0,nombres
los atributos son adecuados pero son muy pocos los atributos para las propiedades que deberian manejarse en cada una de las clases los atributos tienen definido el tipo de dato con los que se manejaran se entienden correctamente los atributos,0,atributos
el nombre de los metodos son adecuados muestran claramente la funcion que van a realizar como no se manejaron bien las clases existen metodos que hacen falta o que estan en una clase que no deberian estar los metodos no especifican los argumentos que necesitan o el tipo de dato que devuelven,0,nombre
no existe cardinalidad alguna por lo cual es dificil entender el flujo de informacion existen asociaciones pero muy generalista lo cual provoca que no se entiendan las asociaciones,-1,cardinalidad
los nombre de las clases son correctos ya que todos empiezan con mayuscula,1,nombre
la clase gerente no tiene atributos,-1,clase
los metodos van acorde a su respectiva clase,1,metodos
se esta uniendo lineas pero no se indica que cardinalidad lleva si es obligatorio o si es de  a  o de  a n o de n a ,-1,lineas
los nombres de las clases son adecuados faltan las clases furgoneta y reserva hay que tomar en cuenta que los objetos no estan definidos como se encuentran en el diagrama de casos de uso para cada clase se indica la estructura adecuada atributos y metodos importantes,0,nombres
los nombres de los atributos son adecuados se indican correctamente los tipos de dato y se han detectado todos los atributos correctamente,1,nombres
en la clase gerente hay metodos que no pertenecen a dicha clase  los tipos de dato que devuelve cada metodo es correcto y tienen la funcionalidad correcta de los requerimientos descritos faltan los metodos relacionados a la furgoneta,0,clase
existe generalizacion entre las clases empleado cliente y gerente hacia la clase persona la cual esta aplicada correctamente pero no hay composicion ni agregacion las cuales son necesarias en algunas clases,0,generalizacion
los nombres de las clases son adecuados son sustantivos y empieza con mayusculas se puede detectan todas las clases correctamente se indica la estructura adecuada contienen atributos y metodos importantes y la informacion reportada es detallada y coherente,1,nombres
los nombres de los atributos son adecuados se expresan claramente y se indica el tipo de dato que es en retrospectiva se aprecian todos los atributos,1,nombres
los nombres de los metodos son adecuados se expresan claramente se indica los argumentos tipo de dato tipo de valor de retorno y visibilidad adecuada pero no se aprecian las funcionalidades correctamente en retrospectiva se puede mejorar,0,nombres
no se aprecian las cardinalidades aunque este bien disenado carece de las carnalidades de las clases dicho esto se aprecian los mensajes y la direccion de navegacion es correcta,0,cardinalidades
los nombres de las clases tienen la sintaxis adecuada no se detectan todas las clases correctamente vehiculo podria ser una generalizacion de automovil y a la vez de furgoneta que no se encuentra en el diagrama,0,nombres
los nombres de los atributos en las clases encontradas son adecuados son sustantivos o adjetivos y expresan una propiedad de la clase se indica el tipo de dato y la visibilidad adecuada,1,nombres
los nombres de los metodos son adecuados son verbos se indica los argumentos tipo de dato tipo de valor de retorno y visibilidad adecuada observacion los metodos descritos en la clase gerente que realizan gestion con automoviles deberian ser metodos de la clase automovil en la clase empleado y contrato se encuentra una duplicacion del metodo registrar_contrato y deberia ser un metodo de la clase contrato,0,nombres
no existe multiplicidad ni asociaciones unicamente generalizacion,-1,multiplicidad
los nombres de las clases son adecuados el diagrama de clases posee una estructura adecuada con sus atributos y metodos bien definidos el diagrama de clases no llega a representar de manera correcta todas las funcionalidades,0,nombres
algunas clases tienen sus atributos bien definidos y representan bien las propiedades de su clase algunas clases no contienen los suficientes atributos la clase gerente no posee atributos se indica el tipo de dato y la visibilidad de los atributos de manera adecuada,0,clases
todos los nombres de los metodos contienen verbos los nombres de los metodos representan de manera correcta la funcionalidad de metodo los metodos no tienen los tipos de datos de los parametros los metodos no tienen los tipo de datos en los valores de retorno los metodos representan correctamente los requerimientos,0,nombres
las cardinalidades fueron omitidas la obligatoriedad fue omitida la direccion de navegacion es apenas suficiente,-1,cardinalidades
las clases estan claras se pueden visualizar correctamente se encuentran bien planteada,1,clases
algunos atributos no estan correctos le falta identificar los atributos,-1,atributos
los metodos no retornan valor mediante el void y algunos no se encuentra en la clase que deberia estar,-1,metodos
no se identifican nada ni las cardinalidades en algunos esta mal definido las lineas de asociacion no tiene sentido,-1,cardinalidades
los nombres de las clases esta correcto no existen todas las clases segun corresponde al caso de uso en la clase gerente no existen atributos eso es un error grave para realizar una clase la informacion de cada clase esta erronea y confusa,-1,nombres
existen diferentes errores al momento de interpretarlo la estructura de las clase con respecto a los atributos no se comprender en absoluto lo que se esta tratando de realizar,-1,errores
se expresa correctamente al nombre cada metodo de cada una de las clases no se indica en si tiene algun argumento o si retorna algun tipo de variable  faltan algunas metodos con respecto a la funcionalidad de cada clase,0,nombre
se encuentra todo muy confuso y no hay coherencia entre las cardinalidades  roles no existe logica entre las relaciones de cada clase,-1,coherencia
de forma global la valoracion de las clases se encuentran definidas de forma incorrecta que los nombres de las clases no empiezan con un letra minuscula y ciertos clases no presentan la estructura completa ya que no presentan atributos en ciertas clases,-1,forma
en este diagrama de clases solo una clase presenta atributos y estos si se encuentran relacionados con la clase pero en las demas clases no se encuentran atributo lo que lleva a una mala estructura del diseno del diagrama de clases,0,diagrama
a diferencia de los atributos los metodos si se encuentra en cada una de las clases pero en este caso solo presentan el nombre del metodo no presentan el tipo dato y el tipo de valor de retorno por otra parte la visibilidad de estos no estan adecuadas,-1,diferencia
las asociaciones implementadas en el diagrama de clases entre las clases tienen una definicion adecuada ya que el uso de la herencia presente e incorporada de forma adecuada las asociaciones se deberia estudiar un poco mas especificar mejor su uso,0,asociaciones
en las clase no tiene relacion con lo descrito en la especificacion del caso de uso los sustantivo no empieza con mayuscula,-1,clase
contiene  atributos entonces no esta descrito en la especificacion del caso de uso,-1,atributos
los metodos son verbos y representa claramente la propiedad de cada clase no especifica el funcionamiento,0,metodos
las asociaciones no estan bien aplicada en las clases del diagrama,-1,asociaciones
los nombres de las clases son sustantivos no existe una clase para el vehiculo que se debe reservar la clase reserva no tiene atributos la clase contrato no tiene atributo,-1,nombres
los atributos no estan bien especificados en la clase cliente deberia tener atributos que pertenezcan a ese objeto sim embargo no existen lo mismo sucede con la clase administrador y trabajador,-1,atributos
los metodos tiene argumento no tiene el tipo de datos no tiene el tipo de valor de retorno si cuentan con el tipo de visibilidad,-1,metodos
